time,wx,wy,wz
62357,0.0,-2.8,1.6
62363,-1.8,-1.8,1.6
62380,-1.8,0.9,-0.1
62387,-1.0,-1.4,0.7
62399,-0.4,2.3,0.0
62405,-1.1,1.1,0.5
62412,-1.4,1.7,1.6
62418,-2.9,-0.7,0.9
62424,-2.1,2.8,0.4
62430,-2.1,2.5,-1.1
62437,-2.3,-0.4,0.7
62443,-3.9,-1.6,0.7
62449,-2.8,2.5,0.2
62455,-1.2,0.3,0.0
62462,-2.8,0.0,0.2
62468,-2.7,-1.7,0.8
62474,-1.7,4.0,-0.4
62480,-3.1,2.5,-0.8
62487,-3.2,-2.3,-0.3
62493,-2.3,0.2,0.6
