time,ax,ay,az
29387,-152,725,-582
29393,-129,749,-583
29442,-85,794,-550
29468,-93,773,-545
29474,-92,800,-551
29481,-93,803,-543
29487,-100,801,-542
29493,-86,807,-536
29499,-70,793,-545
29506,-109,793,-549
29512,-101,795,-550
29518,-83,779,-542
29524,-88,801,-558
29531,-96,784,-558
29537,-93,782,-567
29543,-90,798,-564
29549,-102,787,-559
29556,-87,787,-557
29562,-86,813,-563
29568,-81,810,-559
