time,wx,wy,wz
27485,-67.4,17.3,44.8
27519,111.5,-281.2,54.2
27550,-15.4,-212.3,63.4
27556,-41.7,-185.7,105.9
27562,-80.2,-131.2,154.9
27568,-62.7,-214.8,81.6
27575,-63.2,-69.0,61.3
27585,14.1,27.7,-26.0
27591,22.8,-0.2,-47.2
27597,-17.9,-27.4,-14.6
27817,-2.9,-4.6,4.1
27823,-3.2,-3.5,3.6
27829,-3.2,-1.4,0.6
27836,-3.6,-0.4,0.7
27842,-2.3,1.3,-0.7
27848,-3.7,-2.1,0.6
27854,-3.7,0.0,-0.8
27861,-1.0,0.0,0.6
27867,-1.1,-1.1,3.9
27873,-3.2,-3.2,5.8
