time,ax,ay,az
21141,-509,898,-153
21147,-507,844,-154
21153,-499,757,-131
21159,-487,794,-137
21166,-477,839,-127
21172,-499,851,-122
21178,-493,835,-108
21184,-488,852,-115
21191,-489,827,-109
21197,-476,818,-112
21203,-496,852,-112
21209,-519,847,-115
21216,-500,836,-123
21222,-499,832,-121
21228,-500,843,-122
21234,-504,845,-126
21241,-518,827,-122
21247,-502,823,-135
21253,-500,823,-134
21259,-505,836,-119
