time,ax,ay,az
27485,-643,1046,-126
27519,-554,-301,350
27550,195,880,185
27556,492,693,280
27562,65,666,47
27568,1324,-111,290
27575,703,387,274
27585,350,693,417
27591,384,955,502
27597,541,898,436
27817,734,575,321
27823,750,580,318
27829,723,582,326
27836,747,581,327
27842,719,597,325
27848,758,576,318
27854,734,578,322
27861,734,591,329
27867,740,598,330
27873,749,591,317
