time,ax,ay,az
35016,-193,828,-461
35088,-190,843,-451
35113,-190,850,-452
35120,-196,839,-454
35126,-185,831,-455
35132,-193,826,-446
35138,-183,837,-447
35145,-188,859,-450
35151,-175,856,-452
35157,-198,841,-445
35163,-183,826,-441
35170,-189,823,-434
35176,-185,860,-453
35182,-185,849,-448
35188,-185,824,-439
35195,-190,849,-444
35201,-179,855,-442
35207,-192,838,-444
35213,-182,841,-443
35220,-180,845,-445
