time,ax,ay,az
21034,-217,751,-610
21040,-226,722,-594
21084,-224,742,-612
21091,-240,718,-603
21097,-216,726,-599
21103,-231,733,-600
21109,-219,737,-601
21116,-226,727,-603
21122,-228,727,-605
21128,-220,723,-599
21134,-218,741,-606
21141,-223,731,-605
21147,-215,741,-611
21153,-223,722,-605
21159,-231,723,-606
21166,-231,730,-615
21172,-220,734,-616
21178,-219,725,-606
21184,-218,738,-596
21191,-226,733,-603
