time,ax,ay,az
81097,-545,671,-461
81148,-554,667,-464
81160,-533,660,-464
81172,-545,694,-461
81183,-545,663,-452
81214,-542,660,-464
81226,-554,697,-476
81261,-550,666,-462
81267,-548,673,-458
81273,-547,692,-461
81280,-544,684,-455
81286,-555,664,-449
81292,-543,670,-461
81298,-549,680,-458
81305,-562,690,-452
81311,-546,665,-446
81317,-529,683,-446
81323,-527,671,-445
81330,-547,684,-443
81336,-541,671,-452
