time,wx,wy,wz
29387,-9.3,1.2,7.5
29393,-11.2,-7.2,15.7
29442,-4.4,6.2,-7.1
29468,0.0,1.0,-1.9
29474,2.3,1.8,-0.2
29481,1.1,-1.8,-0.1
29487,0.3,-0.4,0.8
29493,1.6,2.1,-0.4
29499,2.7,-1.4,-0.9
29506,2.5,2.4,-2.2
29512,1.8,6.9,-1.4
29518,1.4,-4.1,-0.2
29524,-0.4,3.7,2.7
29531,-2.4,3.5,4.8
29537,-2.6,1.6,5.6
29543,-2.1,-2.5,4.8
29549,-3.2,-1.1,5.9
29556,-2.1,-2.0,7.2
29562,-1.1,-3.5,6.5
29568,-2.1,-4.9,5.5
