time,ax,ay,az
9363,482,792,-283
9370,486,768,-281
9376,491,796,-287
9382,478,781,-281
9388,481,782,-279
9395,481,785,-294
9401,474,785,-281
9407,476,786,-274
9413,478,774,-283
9420,465,780,-262
9426,488,787,-287
9432,496,789,-297
9438,476,775,-272
9445,477,792,-277
9451,477,776,-276
9457,492,785,-285
9463,489,781,-287
9470,487,783,-285
9476,481,769,-294
9482,474,777,-273
