time,wx,wy,wz
25443,-0.7,-1.5,2.2
25492,-2.0,-1.6,-0.3
25499,-3.0,5.3,1.2
25510,-2.0,4.5,2.3
25531,-2.1,1.2,0.9
25538,-2.2,1.0,0.4
25545,-2.5,4.6,0.5
25551,-2.0,6.3,-0.9
25557,-2.2,-4.8,-0.2
25563,-1.4,0.1,0.6
25570,-0.1,3.6,1.1
25576,-3.0,1.1,0.7
25582,-1.1,2.8,0.6
25588,-1.1,-0.2,0.7
25595,-3.9,2.8,0.4
25601,-2.1,1.2,0.2
25607,-0.5,1.1,0.4
25613,-2.4,1.8,1.4
25620,-2.2,3.4,0.9
25626,-0.3,-1.4,-0.1
