time,wx,wy,wz
49842,-4.7,0.7,-0.2
49849,-3.3,0.0,-0.1
49855,-3.0,1.4,-0.2
49861,-2.0,1.6,-0.4
49867,-2.1,1.1,0.6
49874,-2.9,2.6,0.3
49880,-1.9,3.1,-0.9
49886,-2.8,2.9,1.4
49892,-1.7,2.5,1.6
49899,-1.8,2.9,0.8
49905,-3.3,1.7,0.0
49911,-3.5,2.2,-1.1
49917,-2.5,2.1,-0.5
49924,-0.7,2.4,-0.2
49930,-3.2,1.8,0.2
49936,-1.6,2.8,0.3
49942,-1.1,3.2,0.8
49949,-1.6,3.7,0.7
49955,-0.8,2.5,0.9
49961,0.0,1.4,1.1
