time,wx,wy,wz
56056,-10.0,0.0,3.0
56063,-10.4,0.7,4.0
56069,-11.9,0.2,4.6
56075,-15.4,-2.2,5.1
56081,-16.0,-4.3,4.6
56088,-18.9,-4.0,3.0
56094,-21.9,-7.8,2.8
56100,-20.9,-4.4,1.6
56106,-17.4,-2.3,1.1
56113,-13.6,-6.5,2.5
56119,-7.8,-11.3,4.2
56125,-1.2,-7.7,0.9
56131,1.5,-8.4,1.3
56138,5.5,-6.6,0.7
56144,6.6,1.3,-2.3
56150,6.5,3.6,-1.1
56156,6.7,2.1,1.2
56163,5.5,5.4,1.6
56169,3.0,6.3,1.0
56175,0.8,3.5,1.5
