time,ax,ay,az
4006,-286,916,-79
4013,-280,922,-81
4019,-292,943,-81
4025,-292,924,-86
4031,-293,914,-91
4038,-298,925,-94
4044,-292,944,-95
4050,-292,927,-90
4056,-297,933,-97
4063,-308,927,-101
4069,-305,913,-99
4075,-295,929,-96
4081,-294,932,-91
4088,-289,930,-90
4094,-305,940,-98
4100,-326,937,-102
4106,-321,931,-107
4113,-311,913,-95
4119,-298,903,-84
4125,-294,920,-87
