time,wx,wy,wz
32134,-1.8,-1.0,0.6
32183,-1.8,1.6,2.8
32222,-2.4,-0.5,0.7
32229,-0.9,-0.2,0.7
32235,-2.3,2.4,1.9
32241,-2.0,-2.6,3.0
32247,-1.6,3.5,4.4
32254,-0.5,-11.6,7.4
32260,2.3,6.9,8.4
32266,1.6,-0.4,6.5
32272,-1.0,-0.3,7.0
32279,-0.7,-1.1,6.5
32285,0.7,-2.1,4.8
32291,1.4,1.4,3.4
32297,0.9,2.6,1.6
32304,0.9,2.2,2.0
32310,-1.8,-1.9,1.2
32316,-1.2,-3.9,1.2
32322,-1.9,3.5,0.7
32329,-0.5,-2.8,0.0
